rpm_limit,target,placement,online,temporal_rms,temporal_pp,temporal_shape,temporal_zerocross,temporal_aac,temporal_clearance,temporal_crest,temporal_impulse,temporal_skewness,temporal_kurtosis,spectral_skewness,spectral_flux,spectral_kurtosis,spectral_negentropy,spectral_noisiness,spectral_entropy,spectral_roll_off,spectral_std,spectral_centroid,spectral_roll_on,spectral_energy
False,fault,A,False,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False
False,fault,A,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,True
False,fault,B,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
False,fault,B,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True
False,anomaly_60,A,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
False,anomaly_60,A,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True
False,anomaly_60,B,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
False,anomaly_60,B,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
False,anomaly_90,A,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
False,anomaly_90,A,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True
False,anomaly_90,B,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False
False,anomaly_90,B,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
True,fault,A,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
True,fault,A,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True
True,fault,B,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
True,fault,B,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
True,anomaly_60,A,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
True,anomaly_60,A,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True
True,anomaly_60,B,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
True,anomaly_60,B,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
True,anomaly_90,A,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
True,anomaly_90,A,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
True,anomaly_90,B,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
True,anomaly_90,B,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
