rpm_limit,target,placement,online,temporal_std,temporal_rms,temporal_pp,temporal_max,temporal_shape,temporal_crest,temporal_margin,temporal_impulse,temporal_skewness,temporal_kurtosis,spectral_roll_off,spectral_flux,spectral_negentropy,spectral_skewness,spectral_std,spectral_centroid,spectral_entropy,spectral_kurtosis,spectral_noisiness,spectral_energy,spectral_roll_on
False,fault,A,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
False,fault,A,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,True
False,fault,B,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True
False,fault,B,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
False,anomaly_60,A,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False
False,anomaly_60,A,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True
False,anomaly_60,B,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False
False,anomaly_60,B,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
False,anomaly_90,A,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
False,anomaly_90,A,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True
False,anomaly_90,B,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
False,anomaly_90,B,True,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True
True,fault,A,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False
True,fault,A,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True
True,fault,B,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
True,fault,B,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
True,anomaly_60,A,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False
True,anomaly_60,A,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True
True,anomaly_60,B,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False
True,anomaly_60,B,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
True,anomaly_90,A,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False
True,anomaly_90,A,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True
True,anomaly_90,B,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
True,anomaly_90,B,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True
