rpm_limit,target,placement,online,domain,features,train_accuracy,train_precision,train_recall,train_error_rate,test_accuracy,test_precision,test_recall,test_error_rate
False,fault,A,False,temporal,"['zerocross', 'aac', 'rms']",0.9701305220883534,0.9701305220883534,0.9701305220883534,0.029869477911646587,0.9474564926372155,0.9474564926372155,0.9474564926372155,0.05254350736278447
False,fault,A,False,spectral,"['centroid', 'kurtosis', 'entropy']",0.9749832663989291,0.9749832663989291,0.9749832663989291,0.02501673360107095,0.9504685408299867,0.9504685408299867,0.9504685408299867,0.049531459170013385
False,fault,B,False,temporal,"['zerocross', 'aac', 'rms']",0.9173360107095047,0.9173360107095047,0.9173360107095047,0.08266398929049532,0.8738286479250335,0.8738286479250335,0.8738286479250335,0.12617135207496652
False,fault,B,False,spectral,"['centroid', 'std', 'roll_off']",0.9067101740294511,0.9067101740294511,0.9067101740294511,0.09328982597054886,0.858433734939759,0.858433734939759,0.858433734939759,0.14156626506024098
False,anomaly_60,A,False,temporal,"['zerocross', 'rms', 'shape']",0.9420549581839904,0.9420549581839904,0.9420549581839904,0.05794504181600956,0.9020310633213859,0.9020310633213859,0.9020310633213859,0.0979689366786141
False,anomaly_60,A,False,spectral,"['centroid', 'roll_off', 'entropy']",0.9407108721624851,0.9407108721624851,0.9407108721624851,0.059289127837514936,0.899641577060932,0.899641577060932,0.899641577060932,0.1003584229390681
False,anomaly_60,B,False,temporal,"['zerocross', 'aac', 'kurtosis']",0.8733453670276775,0.8733453670276775,0.8733453670276775,0.1266546329723225,0.8212996389891697,0.8212996389891697,0.8212996389891697,0.17870036101083034
False,anomaly_60,B,False,spectral,"['centroid', 'std', 'noisiness']",0.8616125150421179,0.8616125150421179,0.8616125150421179,0.13838748495788206,0.7936221419975933,0.7936221419975933,0.7936221419975933,0.20637785800240674
False,anomaly_90,A,False,temporal,"['zerocross', 'aac', 'rms']",0.9843113284433578,0.9843113284433578,0.9843113284433578,0.015688671556642216,0.9792176039119804,0.9792176039119804,0.9792176039119804,0.02078239608801956
False,anomaly_90,A,False,spectral,"['centroid', 'noisiness', 'entropy']",0.9817644661776691,0.9817644661776691,0.9817644661776691,0.01823553382233089,0.9706601466992665,0.9706601466992665,0.9706601466992665,0.029339853300733496
False,anomaly_90,B,False,temporal,"['zerocross', 'aac', 'rms']",0.9569757727652465,0.9569757727652465,0.9569757727652465,0.04302422723475355,0.9227234753550543,0.9227234753550543,0.9227234753550543,0.0772765246449457
False,anomaly_90,B,False,spectral,"['centroid', 'std', 'roll_on']",0.9494569757727652,0.9494569757727652,0.9494569757727652,0.05054302422723475,0.918546365914787,0.918546365914787,0.918546365914787,0.08145363408521303
True,fault,A,False,temporal,"['aac', 'rms', 'kurtosis']",0.978082851637765,0.978082851637765,0.978082851637765,0.021917148362235066,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.04046242774566474
True,fault,A,False,spectral,"['centroid', 'std', 'entropy']",0.9898843930635838,0.9898843930635838,0.9898843930635838,0.010115606936416185,0.9826589595375722,0.9826589595375722,0.9826589595375722,0.017341040462427744
True,fault,B,False,temporal,"['zerocross', 'aac', 'rms']",0.9713391136801541,0.9713391136801541,0.9713391136801541,0.028660886319845858,0.9633911368015414,0.9633911368015414,0.9633911368015414,0.036608863198458574
True,fault,B,False,spectral,"['centroid', 'std', 'entropy']",0.9744701348747592,0.9744701348747592,0.9744701348747592,0.025529865125240848,0.9730250481695568,0.9730250481695568,0.9730250481695568,0.02697495183044316
True,anomaly_60,A,False,temporal,"['zerocross', 'aac', 'shape']",0.9672413793103448,0.9672413793103448,0.9672413793103448,0.032758620689655175,0.9379310344827586,0.9379310344827586,0.9379310344827586,0.06206896551724138
True,anomaly_60,A,False,spectral,"['centroid', 'roll_off', 'entropy']",0.9581896551724138,0.9581896551724138,0.9581896551724138,0.04181034482758621,0.9620689655172414,0.9620689655172414,0.9620689655172414,0.03793103448275862
True,anomaly_60,B,False,temporal,"['zerocross', 'rms', 'kurtosis']",0.9385964912280702,0.9385964912280702,0.9385964912280702,0.06140350877192982,0.8859649122807017,0.8859649122807017,0.8859649122807017,0.11403508771929824
True,anomaly_60,B,False,spectral,"['centroid', 'noisiness', 'energy']",0.9223684210526316,0.9223684210526316,0.9223684210526316,0.07763157894736843,0.8807017543859649,0.8807017543859649,0.8807017543859649,0.11929824561403508
True,anomaly_90,A,False,temporal,"['zerocross', 'aac', 'rms']",0.9897540983606558,0.9897540983606558,0.9897540983606558,0.010245901639344262,0.9847775175644028,0.9847775175644028,0.9847775175644028,0.01522248243559719
True,anomaly_90,A,False,spectral,"['centroid', 'energy', 'entropy']",0.9976580796252927,0.9976580796252927,0.9976580796252927,0.00234192037470726,0.9964871194379391,0.9964871194379391,0.9964871194379391,0.00351288056206089
True,anomaly_90,B,False,temporal,"['zerocross', 'aac', 'rms']",0.9889162561576355,0.9889162561576355,0.9889162561576355,0.011083743842364532,0.9839901477832512,0.9839901477832512,0.9839901477832512,0.01600985221674877
True,anomaly_90,B,False,spectral,"['centroid', 'std', 'skewness']",0.9809113300492611,0.9809113300492611,0.9809113300492611,0.019088669950738917,0.9692118226600985,0.9692118226600985,0.9692118226600985,0.03078817733990148
